,linkPoster,name,role,time,content,content_img,react_list,comment,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
10,No link,Người tham gia ẩn danh,Thành viên,18 giờ,"Dạo này t bị thích cái anh shiper shopee giao đồ cho t tụi m ạ. Cứ mỗi lần nhìn thấy ổng là t cười mà tim đập loạn xạ ăn nói lắp ba lắp bắp.
Đã vậy hôm bữa ông còn cho t ly trà sữa nữa ổng bảo mua 1 ly mà ngta nghe lộn nên cho t.
T thì không biết ổng bao nhiêu tuổi chỉ biết mặt thôi, mỗi lần mà ra nhận hàng ổng là t phải mặc đồ đẹp nhất có thể 
 mà thiệc sự là hông dám nói với ổng.
T tìm sđt trên zalo mỗi ngày mà ko dám bấm kb hic
Chưa bao giờ thấy thích 1 người như vậy luôn ý, mà h nói ra sợ ngta có ny rồi hay vợ rồi chắc t xỉu, rồi t bỏ đặt đồ shopee luôn quá. Cíu t với",No picture,"{'Thích': '15', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '42', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Lê Thị Kim Quý', 'content': 'Anh Nguyên à Nguyễn Sông Thương'}, {'name': 'Nguyễn Sông Thương', 'content': 'Lê Thị Kim Quý chả bt:))₫'}, {'name': 'Người tham gia ẩn danh 502', 'content': 'a shipper số hưởng:)'}, {'name': 'Hà Ly', 'content': 'Coi tarot đi :))'}, {'name': 'ARất Thị Kim Oanh', 'content': 'Tao nghi shipper đó là anh Nguyên quá bây ơi:)))'}, {'name': 'Thanh Tịnh', 'content': 'Mạnh dạn add zalo đi giả bộ kêu là để lúc nhận hàng khỏi cần gọi điện tốn tiền, chỉ cần nhắn zalo thoaii, nhắn lâu giả bộ hỏi dò xem có vợ con ny gì chưa. Biết đâu được'}, {'name': 'Maii Anh', 'content': 'dễ mà tháo sim ra, síp pơ kh gọi đc thì ổng nhắn qua zalo cho =))))))))))))))))))))))))'}, {'name': 'Nguyễn Hoàng Anh', 'content': 'Trần Minh Thư Vũ Thị Ngọcc Lan Chúc Phạm Thị Lệ'}]",,,,,
11,No link,Người tham gia ẩn danh,Thành viên,18 giờ,"Duyên phận sao mà học kì này học chung cô ấy 3 môn. Môn nào cũng ngồi chung, làm những hành động thân mật sau khi học xong còn rủ nhau đi ăn các thứ. Đến lúc tỏ tình thì ""Tui có người yêu rồi""",No picture,"{'Thích': '14', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '31', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Lee Thành', 'content': 'Tội lỗi'}, {'name': 'Trần Quyết Khải', 'content': 'Lee Thành quỳ xuống'}, {'name': 'Người tham gia ẩn danh 427', 'content': 'tui chung giường rồi nhưng ngta vẫn chỉ coi là bạn nè:))'}, {'name': 'G. Thịn', 'content': ':)))) khó nói'}, {'name': 'Nguyễn Lực', 'content': 'Lốp trưởng'}, {'name': 'Thị Yến', 'content': 'Là ông bị coi như 2 chúa hề'}, {'name': 'Phan Thị Hoài Nhi', 'content': 'nghe bài Pin dự phòng của Dương Domic đi'}, {'name': 'Việt Dũng', 'content': 'Chờ bạn ấy chia tay đi rồi tỏ tình tiếp'}, {'name': 'Nguyễn Xuân Tiến', 'content': 'Cưng quá =>> cưng vô lây'}, {'name': 'Minh Thịnh', 'content': 'cảm lạnh ghê'}]",,,,,
12,No link,Người tham gia ẩn danh,Thành viên,18 giờ,"Em chào mọi người ạ! Em có anh người yêu nhưng 5 lần 7 lượt anh ấy đều là người đòi chia tay em,mỗi lần có chuyện gì anh ấy không giải quyết vấn đề(tuy nhỏ) mà anh ấy lại chọn giải quyết mqh giữa em và anh ấy,có 1 lần gần đây anh ấy lại tiếp tục đòi chia tay em trong khi vấn đề không lớn vẫn giải quyết được, em và anh ấy chia tay 3,4 ngày thì có 1 bạn nam vào làm quen em, em chỉ chào hỏi lại cho lịch sự thôi, sau đó em và anh ấy có quay lại và em cũng khai thật là có người vào làm quen,cũng nhắn tin chào hỏi này kia. Thì anh ấy chư ởi em thiếu thốn, kin h tở mm... Trong khi em nhắn tin với bạn đó chưa tới 1 ngày, trước khi anh ấy đòi quay lại thì em cũng tự cắ t đứ t với bạn nam kia rồi. Thì như vậy cho em hỏi là em đúng hay em sai ạ?",No picture,"{'Thích': '5', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Hạ Lan', 'content': 'bạn sai, sai vì còn qlai với th đó'}, {'name': 'Châu Ngọc Quốc', 'content': 'Hạ Lan có người đang chờ em quay lại kìa'}, {'name': 'Người tham gia ẩn danh 513', 'content': 'quen trai IT đi b -))'}, {'name': 'Võ Ngọc Nhàn', 'content': 'Tình yêu tuổi mới lớn à'}, {'name': 'Người tham gia ẩn danh 545', 'content': 'Càng cho cơ hội nó càng làm càn tốt nhất ctay cắt đứt các thứ cho đỡ mệt'}, {'name': 'Người tham gia ẩn danh 556', 'content': 'chia tay đi, 1. ví dụ thời gian mà yêu lâu rồi thì bạn nam chỉ yêu vì tiếc kỉ niệm bên nhau thôi 2. bạn nam ích kỉ không muốn bạn yêu người khác 3. nếu … rồi thì bạn nam chỉ muốn yêu để giải quyết nhu cầu sinh lí 4. Chia tay nhiều dẫn đến chai sờn không còn tình cảm như trước 5. Đúng hay sai là do mình chứ không ai quyết định được “Buông bỏ đôi khi lại là hạnh phúc”'}, {'name': 'Người tham gia ẩn danh 419', 'content': 'Bạn k những sai mà còn sai nhiều.. bạn sai vì bạn cho bạn nam đó quá nhiều cơ hội. Bạn sai là ba mẹ bạn chưa chắc đã la bạn, vậy mà bạn để người dưng dùng những từ thô tục với bạn, để sau đó bạn đi hỏi rằng mình sai hay đúng.. Còn bạn nam kia - BỎ..'}, {'name': 'Người tham gia ẩn danh 835', 'content': 'Nói thiệt nha, theo tui thấy có vẻ bạn thương bạn nam này nhiều hơn cách bạn nam này thương bạn. Tui cảm thấy bạn hông có được tôn trọng trong mqh này á. Bạn hông có sai mà vấn đề nằm ở bạn nam này :))'}, {'name': 'Nguyễn Xuân Tiến', 'content': 'Thấy mệt thì bỏ :)))) a mô tốt mình yêu còn ko thì ở mình đi bạn từ từ ròi tyeu nó đến bạn'}, {'name': 'Đặng Nhật Thanh', 'content': 'Đặng Nhật Thanh Nguyễn Xuân Tiến đúng đúng, người có kinh nghiệm có khác'}, {'name': 'Thị Trangg', 'content': 'Nguyễn Xuân Tiến rứa mà còn luỵ em nớ á chớ'}, {'name': 'Nguyễn Xuân Tiến', 'content': 'Thị Trangg nínnnn'}, {'name': 'A Lăng Duy', 'content': 'Con trai mà chửi.i bạn gái và hơi tí đòi chia tay thì cho vào sọt rác ngay và luôn con gái ơi'}, {'name': 'Con Vịt Biết Nhảy', 'content': 'Mn vào like + follow page này giúp zịt với ạ https://www.facebook.com/bbemiraclechapter BBE Miracle Chapter BBE Miracle Chapter'}]",,,,,
13,No link,Người tham gia ẩn danh,Thành viên,18 giờ,"Khi bạn nhận ra những cố gái nhắn tin với minh toàn là đa cấp và lừa đảo, thậm chí có khi đó còn chẳng phải gái",No picture,"{'Thích': '2', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '21', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Trung Hiếu', 'content': 'Trc đây mình xài app hẹn hò nào đó mà mình nghĩ lúc đầu tin tưởng cuối cùng là bị lừa đảo'}, {'name': 'Minh Đức', 'content': '12 năm kinh nghiệm xem Tây Du ký của mình thì gái xinh + nhắn tin trước cho mình thì chỉ có thể là yêu quái'}]",,,,,
14,No link,Người tham gia ẩn danh,Thành viên,20 giờ,có ai tìm người ở ghép ko ạ (trong nhà nguyên căn càng tốt ạ) cuối tháng chuyển vào,No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,,,,,
15,No link,Người tham gia ẩn danh,Thành viên,21 giờ,"[TÌM BẠN NỮ Ở GHÉP] 
- Giá phòng 3tr5/ 3 người ( Hiện đã có 2 bạn) .  Cuối tháng chuyển vào
- Điện 3k, nước 80k/1 người (bao gồm: nước+ các chi phi khác).
- Phòng đầy đủ tiện nghi gồm điều hoà, bếp, nước nóng lạnh, máy giặt, tủ lạnh, wifi free. 
- Phòng sạch sẽ, an toàn, camera giám sát 24/24, ra vào cửa bằng vân tay, nhà xe rộng rãi 
- Giờ giấc thoải mái.
- Gần Đhsp có thể đi bộ
 Sđt liên hệ: 0971272129",No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,,,,,
16,No link,Người tham gia ẩn danh,Thành viên,1 ngày,Mình DTU qua đây giao lưu tí,No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,,,,,
17,No link,Người tham gia ẩn danh,Thành viên,1 ngày,"Anh/chị ơi, trường ĐH Sư phạm Đà Nẵng có mở lớp đào tạo Nghiệp vụ sư phạm trong năm 2025 không ạ? Em muốn xem thông tin về lớp NVSP thì xem ở đâu được ạ? Em cảm ơn.",No picture,"{'Thích': '4', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Thu Thảo', 'content': 'Chị bên trung tâm Nobel Việt Nam ở Đà Nẵng, bên c có lớp NVSP hằng tháng. Em quan tâm lớp nào ib chị hoặc liên hệ 0901 31 5454 c hỗ trợ tư vấn cụ thể cho em nha'}, {'name': 'Ms.Tuyển Sinh Nobel', 'content': 'NVSP HỌC THI ONLINE CHUẨN BGD'}]",,,,,
18,No link,Người tham gia ẩn danh,Thành viên,1 ngày,Mọi người ơi cho em hỏi ở gần trường mình có chỗ nào bán máy tính casio mà có thể đi bộ được k0 ạ. Em cảm ơn.,No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,,,,,
19,No link,Người tham gia ẩn danh,Thành viên,1 ngày,Nam lương 30tr/ tháng tìm n iu,No picture,"{'Thích': '1', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,,,,,
20,No link,Người tham gia ẩn danh,Thành viên,2 ngày,Mấy anh Chị đã thi viên chức cho em hỏi với ạ. Trước trường mình thi CĐR tiếng anh thế sau khi ra trường thì phải thi lại b1 tiếng anh để nộp thi viên chức không ạ,No picture,"{'Thích': '1', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,,,,,
21,No link,Người tham gia ẩn danh,Thành viên,2 ngày,hôm 6/12 bạn nào để quên ở xe mình ib nhận lại nha,{0: 'https://scontent.fhan14-3.fna.fbcdn.net/v/t39.30808-6/469518010_592344773294923_2077699167025968059_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=103&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=bt2Q3rREu5AQ7kNvgFZ6YY8&_nc_zt=23&_nc_ht=scontent.fhan14-3.fna&_nc_gid=ABXlxcAxXZ1_tBQIvWCSYIs&oh=00_AYBf5PJP3tXBsXnGl4nq26XcCd69RmjCOI5qJAYyEivPqw&oe=675EDC4D'},"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,,,,,
22,No link,Người tham gia ẩn danh,Thành viên,3 ngày,Anh/chị cho em hỏi nếu muốn học Nghiệp vụ sư phạm cấp Tiểu học thì nên học ở đâu ạ? Có nên học online không? Em đã có bằng tốt nghiệp ngành ngôn ngữ Anh ạ. Em cảm ơn.,No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,,,,,
23,https://www.facebook.com/groups/1976889476160045/user/100088576406886/?__cft__[0]=AZXY1oVmeRQS1QDuDY7E6eqf3xjZdDOeO4mtWYTDXrNW0hrF4QO9QKMZvFryBnTh3ZnduEB9lsCXgJq6Gnc7w1yapJGt-dAwgIFqDtbLO0iYt2BSSCm_EXjXlofq976ZUiTwrxM8Gx0S3KLYPI0lz2BJTr0UuMjxnfms1RcAGP3sAFlI48OXS5mQVzmXQ0jDthZUsmpl-fIE9AqriGVz-DS1&__tn__=-UC%2CP-R,Chuyện Sinh Viên,Quản trị viên,"Quản trị viên
   3 ngày","Chào mừng các thành viên mới!
Hoàng Khuyên,
Hoài Thương,
Bảo Ngọc,
Tấn Kiên,
Anh Thu Nguyen,
Trần Thị Thái An,
Phương Trần,
Nguyễn Hải Đạt,
Phạm Thanh Thảo,
NT Thuỷ,
Gia Sư YD,
Mỹ Linh,
Vân Nguyễn,
Nguyễn Kim Yến.,
Bảo Trâm,
Nguyễn Xuân Tài,
G. Thịn,
Nguyen Tra My,
Quan Tran,
Hà Thư,
Uyen Uyen,
Mỹ Duyên,
Tuyền Bích,
Chợ Mỹ Đà Nẵng,
Minh Quân Bùi,
Thị Loan,
Thanh Trâm,
Emily Emily,
Ngọc Phú,
Nguyễn Khoa Vĩ Vĩ,
Hồng Nhung,
Cẩm Tú,
Đoàn Thúy Vy,
Thúy Hiền,
Minh Thư,
Trung Nguyễn,
Trần Thị Lam Trà,
Kpa Suong,
Thu Luyến,
Người tham gia ẩn danh,
Tiệm Kha Hiệu,
Nguyễn Quang Quýnh,
Chiến Nguyễn,
Hóng Hiếu,
Thanh Thanh,
Mai Lê,
Trần Thư,
Lê Nhật,
Huỳnh Diễm,
Nguyễn Kiều Huy,
Hoàng Nam,
Bích Ngọc,
Phương Linh,
Quốc Bảo,
Giang Nấm,
Ngoc Anh Nguyen,
An Nhiên,
Thanh Hà,
My Duyen Tran Thi,
Bùi Quang Hiến,
Nguyễn Thị Mai Hoa,
Huệ,
Nguyễn Phạm Minh Huyền,
Nguyễn Văn Nam,
Hang Le,
Nguyên Thái,
Hồ Thị Tố Uyên,
Phuong Anh,
Xu Xu,
Tuấn Nè.,
Bảo Nguyễn,
Khánh Vy,
Đặng Gia Mỹ,
Vo Xuan Nhat,
Thanh Duy,
Nguyễn Thị Như Sinh,
MI NH,
Thảo Nguyên,
Phương Thảo,
Khánh Ly,
Ngô Lưu,
Nguyen Thi Ngoc Anh,
Lê Huyền Trân,
Trần Đăng Phước,
Hồng Sáng,
Nguyễn Thương,
Trần Vy,
Trần Minh,
Vân Nguyen,
Thiên Khải,
Ha Nhy Vo,
Nguyễn Hồng,
Văn Nguyện,
Khang Lê,
Văn Thái,
Lắp Đặt Wifi & Truyền Hình Viettel,
Lê Mai Thanh Nhàn,
Mạnh Hùng,
Văn Thiện,
Bạch Hạc,
Trangg Nhungg,
Hoàng Thị Thanh Trúc,
Minh Hằng,
My Lê,
Anoushon Shonchalern,
Anh Minh,
Tâm Thanh,
Tú Đình,
Khánh Hà,
Nguyễn Đỗ Quyên,
Quý Lê,
Nhiên,
Bảo Trân,
Ngọc Huyền,
Linh Mai,
Hoai Thuong,
Trần Diệu Linh,
Thanh Ngân,
Gió,
Phước Hưng Nguyễn,
Trần Minh Quânn,
Duy Bz,
Huy Lê,
Nam Hoang,
Lương Thắm,
Việt Hoàng,
Nguyễn Văn Tâm,
Hoa Kim,
Haa My,
Xuân Trinh,
Hoàng Anh,
Nguyên Đôn,
LuLu Chern,
Trung Quân,
Thuỳ Trâm,
Phan Huyền,
Kieu Trinh,
Tuyết Mai,
Hờ Tờ Tờ,
Dương Tiệp,
Oanh,
Lii,
Chánh Phát,
Bùi Hoàng,
Miinh Chau,
Hoa Sương,
Ngô Kiệt,
Minh Trúc,
Duong Ngoc Thuy Phuong,
Thục Linh,
Minh Lệ,
Nam Nguyễn,
Quỳnh Trần,
Hồng Ân,
Hoàng Đr,
Con Vịt Biết Nhảy,
Le Quoc Anh,
Kiều Nguyễn,
Bạch Nhật Minh,
Hải Long,
Nguyễn Nga,
Như Quỳnh,
Nguyễn Quân,
Thoang Phi Vo,
Nguyễn Trọng Vinh,
Đinh Thị Duyên Hạnh,
Hoang Hoai Thuong,
Yen Phuong,
Kim Ngân,
Khang Hust,
Nguyễn Myr,
Z' Râm Thị MyLy",{0: 'https://scontent.fhan14-5.fna.fbcdn.net/v/t39.30808-6/469182925_565505759745299_6350994555684318930_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=zExpY9TTADkQ7kNvgFjvlxF&_nc_zt=23&_nc_ht=scontent.fhan14-5.fna&_nc_gid=AeR9f6PUoB0372IKw65gZeB&oh=00_AYCWT8x63lMIl0QJTkAgVf--GP7z8YtajUXQim9dXGgZQg&oe=675EFD83'},"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,,,,,
24,No link,Người tham gia ẩn danh,Thành viên,4 ngày,"Cần pass sách thầy Luận ai vào năm 4 cungz cần, ai cần ib nha sách mới keng giá rẻ",No picture,"{'Thích': '2', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '3', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Người tham gia ẩn danh', 'content': '.'}, {'name': 'Người tham gia ẩn danh', 'content': '.'}]",,,,,
25,No link,Người tham gia ẩn danh,Thành viên,4 ngày,bạn nào hồi sáng để quên ở xe mình ib mình nhận lại nha,{0: 'https://scontent.fhan14-2.fna.fbcdn.net/v/t39.30808-6/469417851_545057491681668_6328063736145256403_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=100&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=1cjKhrU_s2kQ7kNvgFtp8Mi&_nc_zt=23&_nc_ht=scontent.fhan14-2.fna&_nc_gid=AQwA97r43fAv_XAwU9Zp4K7&oh=00_AYBXAfm3iaejCZvgHhWhooQjFcfwUw4L8muUNEBUEdtCUQ&oe=675EEF4A'},"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Người tham gia ẩn danh', 'content': '@nêu bật'}]",,,,,
