content,label,start
Bự quá không mặc đc.kiểu thì ko như mình đã đặt,NEG,2
"hàng đẹp, đúng như hình, chắc chắn",POS,5
bị rách một xíu Đó Đóng gói sản phẩm rất kém Giá cả chấp nhận được,NEG,2
"Không như những shop khác mình từng mua , bên họ làm hư đồ mình , nói đổi lại mà k thấy đâu",NEG,2
Thất vọng,NEG,1
Lắp phát sẵn dùng,POS,5
Làm ăn có tâm tí nhé :) Shop phục vụ rất kém,NEG,1
Thời gian giao hàng rất nhanh Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền,POS,5
Chất siêu mềm và đẹp,POS,5
Nt k tl,NEG,1
Áo vừa đẹp lắm,POS,5
Sản phẩm đẹp nhưng cứng quá,NEU,3
"Đóng gói sản phẩm rất đẹp và chắc chắn, Thời gian giao hàng rất nhanh",POS,5
Giá cả chấp nhận được,NEU,3
Mua áo một đằng gửi một nẻo,NEG,1
Mà nút này là nút bọc lấy đâu mà gắn vào đây,NEG,1
1m55 46 kg mà mặc ko vừa hình như tke cho hs tiểu hoc,NEG,2
Không giải đáp,NEU,3
Giao ko đúng ý khách,NEU,3
Áo xấu đường may cẩu thả,NEG,1
Vải quá dởm,NEG,1
Vãi hơi mỏng nhưng from đẹp.giống hình,POS,4
Cực ưng màu áo,POS,4
Áo đẹp lắm cj,POS,5
"vải đẹp, chuẩn, hi vọng sẽ có nhiều sản phẩm tốt hơn nữa",POS,4
Thời gian giao hàng rất nhanh,NEU,3
Hàng không giống hình,NEG,1
"Vải mềm, mịn, mướt sờ rất thích nhưng cũng đồng nghĩa với mỏng 😂, có cảm giác mong manh dễ vỡ, không biết dùng tgian sẽ thế nào",NEU,3
Mùi hôi ko chịu dc,NEG,1
shop có chat và tư vấn nhưng ko nhiệt tình lắm có thể do nhiều đơn quá trả lời ko kịp,NEG,2
"Size 34 nhưng mặc chật, ko co dãn nhiều",NEU,3
Chất lượng vải nói chung cũng ổn,NEG,1
Áo may lỗi ở cổ và ống tay vải áo thì quá mỏng mảnh lại quá rộng.,NEU,3
"Mua lần 2, rất hài lòng",POS,5
"Shop đăng 1 kiểu mà bán 1 kiểu, khi tôi phản ánh lại với shop thì chối trách nhiệm",NEG,1
Bàn tay mỏng nên ko nâng lắm,NEG,2
"Hàng đẹp, đúng chủng loại chắc chắn",POS,5
"Sản phẩm rất chắc, đẹp",POS,4
Thanks shop,NEU,3
Váy quá mỏng ko ưng ý,NEG,1
Hàg y hình,POS,5
Đồ đẹp qa shop ơi 😍😍 c.ơn shop nhìu nhé 💕💕 Shop phục vụ rất tốt,POS,5
"Vải khá mỏng và rất cũ, giao hàng khá nhanh",NEG,1
Hihi,NEU,3
Vải k đẹp,NEG,1
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Rất đáng tiền Thời gian giao hàng rất nhanh,POS,5
vải mịn nhưng quần màu thì giặc ra màu nhiều. hic. màu trắng thì k sao,POS,4
Ko uy tín,NEG,1
Váy mát nhưng mỏng,NEU,3
"Màu đẹp, Shop phục vụ rất tốt",POS,5
"Tiền nào vải ấy, với giá đấy thì chất lượng thế là đc rồi, phần mông ko co giãn,nói chung con mình mông to ko mặc đc",NEU,3
"Đóng gói đẹp- gọn gàng trong thùng, bao bì chống sốc tận 3 lớp mở mỏi tay lun",NEU,3
Kiểu dáng ok,POS,4
💜🙈 giao hành nhanh sáng đặt chiều đã có hàng,POS,5
Chúc shop một ngày tốt lành,NEU,3
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Rất đáng tiền Thời gian giao hàng rất nhanh Rất đáng tiền,POS,5
Vẫn ưng như ngày đầu Chất lượng sản phẩm tuyệt vời Rất đáng tiền,POS,5
Bên mình bán không kèm pin sao,NEU,3
Đẹp y hình,NEU,3
Đẹp lại rẻ,POS,5
Màu xấu,NEG,2
Chất lượng sản phẩm tương đối tốt,POS,4
Chất lượng sản phẩm tuyệt vời,POS,5
"Giao hàng thì từ t7 tuần trước đến t6 tuần này mới nhận, quy định đổi trả 3 ngày mà còn mỗi sáng t7 chờ shop gửi địa chỉ cụ thể để ra bưu điện gửi trả mà shop phản hồi cực chậm lại ko đưa địa chỉ cụ thể",NEG,1
Hàng cực kỳ đẹp 😍😍,POS,5
Áo như hình chất sờ hơi cứng ak,NEU,3
Chất lượng sản phẩm rất kém,NEG,1
"Tuy nhiên khoá móc bị mất 1 cái, các dây đeo đều lỏng giặt là tuột ra khỏi áo, nên khắc phục",NEG,2
"Giao hàng nhanh, lịch sự",POS,5
"Mua mà nhờ ngta nhận dùm, nên chưa thấy cái đầm ra sao, haha Thời gian giao hàng rất nhanh",POS,4
Quần mỏng chứ ko dày,NEU,3
"Chất lượng sản phẩm tuyệt vời, Đóng gói sản phẩm rất đẹp và chắc chắn, Shop phục vụ rất tốt, Rất đáng tiền, Thời gian giao hàng rất nhanh",POS,5
"Khi giặt áo phai màu kinh khủng, giặt 3 lần vẫn phai đen ngòm cả nước :-<",NEG,2
Giống hình nhưng vải hơi nhăn Chất lượng sản phẩm tốt Chất lượng sản phẩm tốt Đóng gói sản phẩm chắc chắn,POS,4
Sản phẩm dùng dk,NEU,3
Má xài êm lắm,POS,4
Vải ok .thời gian giao hàng nhanh.ths shop,POS,4
Lúc đầu nghĩ với giá này thì áo thun sẽ bị mỏng,NEU,3
"Mình check thì thấy shop bán hàng chuẩn, giao hàng nhanh, đóng gói sản phẩm đẹp",POS,5
Dây hơi dài,NEG,2
May nơ hơi xấu,NEU,3
Vừa tầm giá,NEU,3
"Chất vải mỏng mình phải may thêm lớp lót, dù để bậy mặc cũng mát... hix",NEG,2
Quan khong co tui truoc,NEG,2
Chất lượng sản phẩm tuyệt vời,POS,5
Trên hình thấy form rộng lắm mà sao áo nhân được nó nhỏ xíu cỡ size M 😐,NEG,2
"Bạn nào phân vân thì mua đi, k hối hận :)))",POS,4
Chất lượng sản phẩm tuyệt vời.thanks shop khi tư vấn thêm thank nối giảm bớt chi phí khi hạ sz,POS,5
"Kiểu đẹp, vải êm, shop phục vụ tốt 👍❤",POS,5
Mỗi tội đi mua quần mới để hợp vs giày 480k :)),POS,4
Hơi mặn,NEG,2
Sau ủng hộ shop tiếp,POS,4
"Nc là vs giá tiền là ưng, yên tâm mua nhé mn",POS,4
"Shop ơi 2 cái quần cùng size mà sao cái nhỏ cái bự , cái nhỏ mặc hok vừa Thời gian giao hàng rất nhanh",NEG,2
"Hơi thất vọng về sản phẩm vì không phải hàng của xiaomi như hình quảng cáo, mình có xem review trước tren youtube rồi nên mới đặt mua",NEG,1
Hoodie thì vải quá mỏng😑,NEG,1
Chắc phải đem sửa,NEU,3
Quá okie với giá như thế này,NEU,3
"Vải đẹp, in hơi to và tệ",NEG,2
Đóng gói ko đẹp lắm,NEG,2
Chất lượng sản phẩm khá tuyệt vời,NEU,3
Hàng tạm được chứ không đẹp.đóng gói ok,NEU,3
Cổ áo không giống hình lắm,NEG,2
Sp chưa sử dụng chưa biết chất lượng thế nào 😀,NEU,3
Ủng hộ dài dài,POS,5
Đồ đẹp laqms luôn ạ,POS,5
Chất lượng sản phẩm mỏng,NEU,3
Chất lượng tạm được,NEU,3
Nhưng KHÔNG thấy shop gửi voucher qua tin nhắn hay là chat trên shopee,NEG,2
màu hơi vàng chứ ko phải trắng,NEU,3
Màu hồng sến ko đúng với hình,NEG,1
đẹp như hình,POS,4
"Đúng là shopee 4H,giao hàng rất nhanh trong ngày,mà còn có 3bịch kẹo thôi mà nhìn cái hộp và keo dán đều của shopee hết mà bên trong lót đều mút bảo vệ nữa chứ.Hôm nay dù KM,mà nhắn shop giao bịch kẹo date mới đúng y chang NSX 08/18 lun.Làm ăn rất có Tâm...gần hết kẹo sẽ gặp shop lần 3.THANKS",POS,5
Hơi tiếc 1 chút là áo mình bị lủng 1 lỗ nhỏ đằng trước,NEG,1
Size XL không vừa cho người 53kg như shop ghi đâu,NEU,3
Mong ad điều chỉnh lại,NEG,2
"Quần dày dặn , đẹp lắm , sẽ ủng hộ shop",POS,5
Trắng thì bự,NEU,3
Mình 51kg cao m63 mà mặc size M còn hơi rộng nên mn hãy lựa size cho kĩ trc khi mua,NEU,3
"Áo nhìn xinh , shop nói chuyện cực đáng yêu",POS,5
Hok giống như hình một chút nào:),NEG,2
Chất lượng sản phẩm tuyệt vời,POS,5
Túi váy hơi cạn,NEU,3
Chất lượng sản phẩm tạm được Shop phục vụ tạm được Thời gian giao hàng tạm được,NEU,3
Đóng gói kỹ,POS,5
Chất áo cứng quá,NEG,2
Giao hàng chậm chễ,NEG,2
1 cái mất cổng sạc,NEG,2
Bị rụng mất 1 hạt chuông,NEG,2
"Quần không có bo viền nên mặc dễ chịu, hạn chế mùi tầm 60-70% so với quần cotton",POS,4
Giống hình,POS,5
Size ao nho hon nhung sp khac,NEU,3
Đóng gói sản phẩm rất kém,NEG,1
Mát và dễ ủi,POS,5
Shop rút kinh nghiệm nhé,POS,4
"vải áo hơi mỏng nhưg k đến nỗi nào...mặc ổn.... so với giá tiền thì áo khá ok...đường chỉ may đẹp, fom áo đẹp, tất cả đều rất đẹp...nếu đổi qua vải đẹp hơn thì sp tuyệt vời..",POS,5
"Áo chất đẹp nhé, Shop phục vụ rất tốt Thời gian giao hàng rất nhanh",POS,5
Đóng gói sản phẩm rất đẹp và chắc chắn,POS,5
Eo mk 75cm nhưng mặc size L vẫn rộng Shop phục vụ rất tốt,POS,4
Quần lót rất rất tốt,POS,5
Chất lượng sản phẩm tuyệt vời,POS,5
Nhưng áo hơi rộng,NEU,3
Hàng chất lượng tạm được so với mức giá,NEU,3
Nhưng k sao nhìn xa thì cũng đk,NEG,2
"Cơ mà tôi mua hôm nay, ngày mai shop làm flash sale là sao 😥",NEU,3
Có điều gói hơi chắc quá,NEG,2
"Áo dày, dài, rộng mk m5 mặc thì thành váy",NEG,2
"Quan thun nho qua,size L ma ao rong qua k mac vua",NEG,2
Hàng đẹp y hình,POS,4
Thời gian giao hàng rất nhanh Rất đáng tiền Shop phục vụ rất tốt Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn,POS,5
Đẹp,POS,5
"Áo form nhỏ, cứng, k êm",NEG,2
Ok lắm nhé,POS,4
"Đẹp lắm shop ơi, mình mập cứ sợ ko vừa, ai ngờ vừa y, cảm ơn shop",POS,4
"Túi xách đẹp ghê, chất lượng quá tuyệt so với giá",POS,5
Chất lượng sản phẩm tuyệt vời,POS,5
Rất rất rất là hài lòng lần đầu tiên có shop làm mình hài lòng đến vậy sản phẩm rất chi là ok,POS,5
Quần đẹp .ưng lắm ❣️,POS,5
Gọi gọi cả ảnh luôn à,NEU,3
Đóng gói sản phẩm tạm được,NEG,2
Nách bị rộng,NEG,2
Mặc thoải mái,NEU,3
"Chất mịn, mát, mỗi tội chất này dễ bị nhăn, nói chung là phù hợp giá tiền",NEG,2
Mua 1 quan dài 1 lửng,NEG,1
đẹp ❤️,NEU,3
Sản phẩm tạm dc,NEU,3
Nên mặc lên không cứng form,NEG,2
Hơi chật nhưng cũng dc,NEG,2
Có vạch báo đầy,NEU,3
Giống như hình 😘😘,POS,5
Hàng hơi mỏng ạ,NEG,2
Tuy hộp bị bể,NEG,2
Nhưng mà thôi cũng được. 😅 Chất lượng sản phẩm tuyệt vời Rất đáng tiền,POS,5
Vải đẹp nhưng nhầm size shop ạ,NEG,2
Lần sau mình sẽ ủng hộ shop thêm nữa,NEU,3
Eo 64-65 mông 91 mặc M hơi rộng theo mình,NEU,3
Hơi ít ảnh vi trg 1 xấp ảnh bts,NEG,2
"Chất lượng tốt, mềm dùng rất thích",POS,5
"Rất đáng tiền, Đóng gói sản phẩm rất đẹp và chắc chắn",NEG,1
max xinh luôn,POS,5
Shop phục vụ rất tốt Rất đáng tiền .có kèm quà tặng 💋,POS,5
"Mình đặt trắng, be, đen , xanh rêu lại giao thành 2 màu đen",NEG,2
Rất oke,POS,5
Được vs giá tiền nha mn hàng ổn trừ cái cổ áo thì ổn hơi nhăn,POS,4
"Gửi hàng nhầm, đã liên hệ với shop",NEG,1
Áo đẹp,POS,4
Ví xấu hàng đểu.ko bao giờ mua hàng của shop nữa.cạch đến già,NEG,1
Cũng duoc.tay hoi ngắn,NEG,2
chất phù hợp vs giá tiền. nói chung là nhận xong rất là ưng,POS,5
"Giao hàng chậm quá, ko sử dụng đc lúc cần",NEG,1
Còn dùng thì dễ bị vỡ miếng,NEU,3
Đặt màu này giao màu khác,NEG,1
Chi tiết màu đen bị ra màu rất nhiều khi giặt,NEG,2
Nach hơi rông,NEG,2
"chất lượng sp tốt, vải mịn, đúng size",POS,5
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Thời gian giao hàng rất nhanh shop phục vụ chưa tốt,POS,5
Chất lượng sản phẩm tuyệt vời nhưng shop phục vụ kém quá,NEU,3
Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Thời gian giao hàng rất nhanh .quần hơi bị đẹp nha ^^,POS,5
